CS,Variable,Index,PIP,Coverage,MinAbsCorr,MeanAbsCorr,MedianAbsCorr,Z_Score
CS1,DRXTNIAC,14,0.9999999999999999,0.9999999999999998,1,1,1,-9.2135208228107
CS10,DRXTMAGN,11,0.9999999999902042,0.9999999999999996,1,1,1,-6.995906079569354
CS11,DRXTCOPP,5,0.9999999737500399,0.999999999984635,1,1,1,-1.8072787234709062
CS12,DRXTCALC,2,0.9984935211759229,0.9739119552259391,1,1,1,-3.8433644100077067
CS2,DMQMILIZ,12,1,1,1,1,1,-7.684635103649016
CS3,DRXTTHEO,19,0.9999698163882405,0.9999526752235829,1,1,1,-7.1452201426100626
CS4,DRXTVB2,23,1,0.9740779585740729,1,1,1,-0.9341024067565957
CS5,DRXTFOLA,8,0.9999999999999984,1,1,1,1,-8.9077102777182109
CS6,DRXTIRON,6,0.9999999999999741,0.9999999999999976,1,1,1,-1.2164055183761648
CS7,DRXTSODI,13,0.9999439292050565,0.9999999999999594,1,1,1,-7.928396014924744
CS8,DRXTPOTA,9,1,0.999912084253568,1,1,1,-1.4544706364320188
CS9,DRXTVARA,20,0.9999999999999997,1,1,1,1,-6.247453513794279
